File: sensor_calibration
Build ID: 26f1fadc67928436dcaadd3c0324b89b1ea754c3
Type: cpu
Time: 2026-07-29 14:36:38 CDT
Duration: 9.06ms, Total samples = 220ms (2427.12%)
Showing nodes accounting for 210ms, 95.45% of 220ms total
Showing top 100 nodes out of 105
      flat  flat%   sum%        cum   cum%
         0     0% 68.18%       10ms  4.55%  runtime.(*spanSet).reset
         0     0% 68.18%       10ms  4.55%  runtime.(*sweepLocked).sweep.(*mheap).freeSpan.func2
         0     0% 68.18%       10ms  4.55%  runtime.convT64
         0     0% 68.18%       10ms  4.55%  runtime.finishsweep_m
         0     0% 68.18%       10ms  4.55%  runtime.gcStart
         0     0% 68.18%       10ms  4.55%  runtime.gcStart.func3
         0     0% 68.18%       10ms  4.55%  runtime.gcmarknewobject
      10ms  4.55% 72.73%       10ms  4.55%  runtime.heapArenaOf (inline)
         0     0% 72.73%       10ms  4.55%  runtime.mallocgcLarge
         0     0% 72.73%       10ms  4.55%  runtime.mapaccess2_faststr
         0     0% 72.73%       10ms  4.55%  runtime.mapassign_faststr
         0     0% 72.73%       10ms  4.55%  runtime.markroot
         0     0% 72.73%       10ms  4.55%  runtime.markrootBlock
      10ms  4.55% 77.27%       10ms  4.55%  runtime.memclrNoHeapPointers
      10ms  4.55% 81.82%       10ms  4.55%  runtime.newArenaMayUnlock
         0     0% 81.82%       10ms  4.55%  runtime.newMarkBits
         0     0% 81.82%       10ms  4.55%  runtime.newarray
      10ms  4.55% 86.36%       10ms  4.55%  runtime.offAddr.lessThan (inline)
      10ms  4.55% 90.91%       10ms  4.55%  runtime.scanblock
      10ms  4.55% 95.45%       10ms  4.55%  runtime.spanOf (inline)
