File: transaction_ledger_audit
Build ID: c1b3278941b24fffd6b92019d5abf34a221fd45b
Type: cpu
Time: 2026-07-29 14:35:53 CDT
Duration: 194.05ms, Total samples = 410ms (211.28%)
Showing nodes accounting for 370ms, 90.24% of 410ms total
Showing top 100 nodes out of 104
      flat  flat%   sum%        cum   cum%
      10ms  2.44% 85.37%       10ms  2.44%  runtime.(*mspan).moveInlineMarks
      10ms  2.44% 87.80%       10ms  2.44%  runtime.(*mspan).writeHeapBitsSmall
         0     0% 87.80%       10ms  2.44%  runtime.(*scavengerState).sleep
         0     0% 87.80%       10ms  2.44%  runtime.(*spanSet).push
         0     0% 87.80%       10ms  2.44%  runtime.(*spanSetBlockAlloc).alloc
         0     0% 87.80%       10ms  2.44%  runtime.(*sweepLocked).sweep
         0     0% 87.80%       10ms  2.44%  runtime.(*timer).maybeAdd
         0     0% 87.80%       10ms  2.44%  runtime.(*timer).modify
         0     0% 87.80%       10ms  2.44%  runtime.(*timer).reset (inline)
         0     0% 87.80%       10ms  2.44%  runtime.(*timers).addHeap
         0     0% 87.80%       10ms  2.44%  runtime.bgscavenge
         0     0% 87.80%       10ms  2.44%  runtime.growslice
         0     0% 87.80%       10ms  2.44%  runtime.heapSetTypeNoHeader (inline)
         0     0% 87.80%       10ms  2.44%  runtime.makemap_small
         0     0% 87.80%       10ms  2.44%  runtime.mapaccess2_faststr
         0     0% 87.80%       10ms  2.44%  runtime.mapassign_faststr
         0     0% 87.80%       10ms  2.44%  runtime.markroot
         0     0% 87.80%       10ms  2.44%  runtime.markrootBlock
      10ms  2.44% 90.24%       10ms  2.44%  runtime.memclrNoHeapPointers
         0     0% 90.24%       10ms  2.44%  runtime.newarray
