state	family	disposition	lines	bytes	sha256	path
untracked	compiler-analysis-tool	reviewed	397	12569	ee1e08c2d32bbceb26aa567de4575e4ce5979ece6dcbf72f5a34b4f376041a15	v12/interpreters/go/cmd/compiled-control-census/range_analysis.go
untracked	compiler-analysis-tool	reviewed	138	4737	0553160c2dd1fa56785108eef973ed9bd245d706b58e4bb231c7721063597e41	v12/interpreters/go/cmd/compiled-control-census/range_analysis_test.go
untracked	compiler-analysis-tool	reviewed	281	9918	bfa6eecd8bb6c59a7f5db88994b165e3e49a41c9082a28fb24756fce9ef0e3ee	v12/interpreters/go/cmd/compiled-control-census/range_helpers.go
untracked	compiler-analysis-tool	reviewed	645	18129	c3b4caff01ab4590820e723ca16a76be9b56df85ad841abc50f0059a7b872513	v12/interpreters/go/cmd/compiled-control-census/range_run.go
untracked	compiler-analysis-tool	reviewed	281	6109	2063a178a84586560887c06209248052b1d98779ac1131f1da751e5fc964d192	v12/interpreters/go/cmd/compiled-control-census/range_types.go
untracked	compiler-analysis-tool	reviewed	121	3045	64f52a0fe1ee321f1e0892ff615ac8ca2039abd2e615e4737a5c3e9620e2fd05	v12/interpreters/go/cmd/compiled-control-census/relational_bounds.go
untracked	compiler-analysis-tool	reviewed	146	5586	443539ffcdfd4891c7b194d1de2734f582c7d8f6a1955eba394fb87f4c1850db	v12/interpreters/go/cmd/compiled-control-census/relational_bounds_test.go
modified	module-metadata	reviewed	34	1277	0e0ca1cff1c5787eb0ee538ef4defaabaf355c36f51d5211d1d9cdd864dac086	v12/interpreters/go/go.mod
untracked	semantic-abi	reviewed	77	2711	7762ab97c26582b0325972347c69b3f0e127bc78cba49c3f0fac43dc2ff23531	v12/interpreters/go/internal/semanticabi/cell.go
untracked	semantic-abi	reviewed	170	6908	8c167681377665066557fd5024525a7be1731047b241929e347d4687a632ac49	v12/interpreters/go/internal/semanticabi/cell_manifest_test.go
untracked	semantic-abi-tool	reviewed	222	9260	d023747dd824ff64da4d68de148e462361e54b3e4d02fe14b8e10dd02df938f0	v12/interpreters/go/internal/semanticabi/cmd/bindingreport/main.go
untracked	semantic-abi-tool	reviewed	259	9037	6fcecb7108ed798daa18633ec7e1031341b1f089b44f8796fbe3329237bc46c7	v12/interpreters/go/internal/semanticabi/cmd/flowreport/main.go
untracked	semantic-abi-tool	reviewed	47	1052	bd53d1d4d4166847999b78c5dceeb6d6cb5b922aad3ba0eed752c52685a3f2cd	v12/interpreters/go/internal/semanticabi/cmd/heapreport/main.go
untracked	semantic-abi-tool	reviewed	314	14633	24ae745b43523a426a76b0d5756f4c7eecde220bf22d9dfc90731051e24d5911	v12/interpreters/go/internal/semanticabi/cmd/manifestgen/main.go
untracked	semantic-abi	reviewed	548	16334	0637ee7e0bedee05d9711ab9b944c0b9eb11334aea162ee35d30be6082fd9043	v12/interpreters/go/internal/semanticabi/codec.go
untracked	semantic-abi	reviewed	138	4763	d31c25c9f88394d567941232013bb2ef284e4cf0dfb4e324f635c206f1b15b4d	v12/interpreters/go/internal/semanticabi/codec_test.go
