benchmark	run	language	order	status	seconds	stdout_sha256	verification
quicksort	5	ruby	2	0	0.654502	88148e21399796b608b9762acf30ecb3a1d938a57a60945c20653dc74c6b3e60	verified
quicksort	5	able	3	0	12.219085	88148e21399796b608b9762acf30ecb3a1d938a57a60945c20653dc74c6b3e60	verified
sudoku_masks	1	able	1	0	24.415482	9354bc257cae59f24fce2f106308db1c36a10976f52089fa54a6d50b7e50b506	verified
sudoku_masks	1	python	2	0	1.719992	9354bc257cae59f24fce2f106308db1c36a10976f52089fa54a6d50b7e50b506	verified
sudoku_masks	1	ruby	3	0	2.138882	9354bc257cae59f24fce2f106308db1c36a10976f52089fa54a6d50b7e50b506	verified
sudoku_masks	2	python	1	0	1.786462	9354bc257cae59f24fce2f106308db1c36a10976f52089fa54a6d50b7e50b506	verified
sudoku_masks	2	ruby	2	0	2.193188	9354bc257cae59f24fce2f106308db1c36a10976f52089fa54a6d50b7e50b506	verified
sudoku_masks	2	able	3	0	24.057706	9354bc257cae59f24fce2f106308db1c36a10976f52089fa54a6d50b7e50b506	verified
sudoku_masks	3	ruby	1	0	2.179849	9354bc257cae59f24fce2f106308db1c36a10976f52089fa54a6d50b7e50b506	verified
sudoku_masks	3	able	2	0	23.512007	9354bc257cae59f24fce2f106308db1c36a10976f52089fa54a6d50b7e50b506	verified
sudoku_masks	3	python	3	0	1.707376	9354bc257cae59f24fce2f106308db1c36a10976f52089fa54a6d50b7e50b506	verified
sudoku_masks	4	able	1	0	24.355161	9354bc257cae59f24fce2f106308db1c36a10976f52089fa54a6d50b7e50b506	verified
sudoku_masks	4	python	2	0	1.727809	9354bc257cae59f24fce2f106308db1c36a10976f52089fa54a6d50b7e50b506	verified
sudoku_masks	4	ruby	3	0	2.050799	9354bc257cae59f24fce2f106308db1c36a10976f52089fa54a6d50b7e50b506	verified
sudoku_masks	5	python	1	0	1.754683	9354bc257cae59f24fce2f106308db1c36a10976f52089fa54a6d50b7e50b506	verified
sudoku_masks	5	ruby	2	0	2.125909	9354bc257cae59f24fce2f106308db1c36a10976f52089fa54a6d50b7e50b506	verified
sudoku_masks	5	able	3	0	24.080180	9354bc257cae59f24fce2f106308db1c36a10976f52089fa54a6d50b7e50b506	verified
tapelang_alphabet	1	able	1	0	20.197968	a8ac3a1054c1aa7ac25f9b1e652a96a7ac86a1c1130687fc53b90e20c766d149	verified
tapelang_alphabet	1	python	2	0	0.559335	a8ac3a1054c1aa7ac25f9b1e652a96a7ac86a1c1130687fc53b90e20c766d149	verified
tapelang_alphabet	1	ruby	3	0	0.705223	a8ac3a1054c1aa7ac25f9b1e652a96a7ac86a1c1130687fc53b90e20c766d149	verified
tapelang_alphabet	2	python	1	0	0.547379	a8ac3a1054c1aa7ac25f9b1e652a96a7ac86a1c1130687fc53b90e20c766d149	verified
tapelang_alphabet	2	ruby	2	0	0.703393	a8ac3a1054c1aa7ac25f9b1e652a96a7ac86a1c1130687fc53b90e20c766d149	verified
tapelang_alphabet	2	able	3	0	20.529520	a8ac3a1054c1aa7ac25f9b1e652a96a7ac86a1c1130687fc53b90e20c766d149	verified
tapelang_alphabet	3	ruby	1	0	0.746733	a8ac3a1054c1aa7ac25f9b1e652a96a7ac86a1c1130687fc53b90e20c766d149	verified
tapelang_alphabet	3	able	2	0	20.770750	a8ac3a1054c1aa7ac25f9b1e652a96a7ac86a1c1130687fc53b90e20c766d149	verified
tapelang_alphabet	3	python	3	0	0.846222	a8ac3a1054c1aa7ac25f9b1e652a96a7ac86a1c1130687fc53b90e20c766d149	verified
tapelang_alphabet	4	able	1	0	20.732547	a8ac3a1054c1aa7ac25f9b1e652a96a7ac86a1c1130687fc53b90e20c766d149	verified
tapelang_alphabet	4	python	2	0	0.598978	a8ac3a1054c1aa7ac25f9b1e652a96a7ac86a1c1130687fc53b90e20c766d149	verified
tapelang_alphabet	4	ruby	3	0	0.801508	a8ac3a1054c1aa7ac25f9b1e652a96a7ac86a1c1130687fc53b90e20c766d149	verified
tapelang_alphabet	5	python	1	0	0.615614	a8ac3a1054c1aa7ac25f9b1e652a96a7ac86a1c1130687fc53b90e20c766d149	verified
tapelang_alphabet	5	ruby	2	0	0.796347	a8ac3a1054c1aa7ac25f9b1e652a96a7ac86a1c1130687fc53b90e20c766d149	verified
tapelang_alphabet	5	able	3	0	20.247683	a8ac3a1054c1aa7ac25f9b1e652a96a7ac86a1c1130687fc53b90e20c766d149	verified
fib	1	able	1	0	0.123949	a9c936c441fe6280cabd79ab1abac782a93ac7ad3495f87b8040d653a046ff36	verified
fib	1	python	2	0	5.321299	a9c936c441fe6280cabd79ab1abac782a93ac7ad3495f87b8040d653a046ff36	verified
fib	1	ruby	3	0	4.035203	a9c936c441fe6280cabd79ab1abac782a93ac7ad3495f87b8040d653a046ff36	verified
fib	2	python	1	0	5.101923	a9c936c441fe6280cabd79ab1abac782a93ac7ad3495f87b8040d653a046ff36	verified
fib	2	ruby	2	0	4.174396	a9c936c441fe6280cabd79ab1abac782a93ac7ad3495f87b8040d653a046ff36	verified
fib	2	able	3	0	0.112154	a9c936c441fe6280cabd79ab1abac782a93ac7ad3495f87b8040d653a046ff36	verified
fib	3	ruby	1	0	4.215325	a9c936c441fe6280cabd79ab1abac782a93ac7ad3495f87b8040d653a046ff36	verified
fib	3	able	2	0	0.100854	a9c936c441fe6280cabd79ab1abac782a93ac7ad3495f87b8040d653a046ff36	verified
fib	3	python	3	0	5.287042	a9c936c441fe6280cabd79ab1abac782a93ac7ad3495f87b8040d653a046ff36	verified
fib	4	able	1	0	0.118063	a9c936c441fe6280cabd79ab1abac782a93ac7ad3495f87b8040d653a046ff36	verified
fib	4	python	2	0	5.385913	a9c936c441fe6280cabd79ab1abac782a93ac7ad3495f87b8040d653a046ff36	verified
fib	4	ruby	3	0	4.580801	a9c936c441fe6280cabd79ab1abac782a93ac7ad3495f87b8040d653a046ff36	verified
fib	5	python	1	0	5.338865	a9c936c441fe6280cabd79ab1abac782a93ac7ad3495f87b8040d653a046ff36	verified
fib	5	ruby	2	0	4.453730	a9c936c441fe6280cabd79ab1abac782a93ac7ad3495f87b8040d653a046ff36	verified
fib	5	able	3	0	0.115040	a9c936c441fe6280cabd79ab1abac782a93ac7ad3495f87b8040d653a046ff36	verified
matrixmultiply	1	able	1	0	0.740062	4841d03fe93e0d4db2f42144f0a035ad7b5443bfdfca828012d5dbeed584a144	verified
matrixmultiply	1	python	2	0	3.445125	4841d03fe93e0d4db2f42144f0a035ad7b5443bfdfca828012d5dbeed584a144	verified
matrixmultiply	1	ruby	3	0	3.342792	4841d03fe93e0d4db2f42144f0a035ad7b5443bfdfca828012d5dbeed584a144	verified
matrixmultiply	2	python	1	0	3.260987	4841d03fe93e0d4db2f42144f0a035ad7b5443bfdfca828012d5dbeed584a144	verified
matrixmultiply	2	ruby	2	0	3.297876	4841d03fe93e0d4db2f42144f0a035ad7b5443bfdfca828012d5dbeed584a144	verified
matrixmultiply	2	able	3	0	0.779180	4841d03fe93e0d4db2f42144f0a035ad7b5443bfdfca828012d5dbeed584a144	verified
matrixmultiply	3	ruby	1	0	2.974982	4841d03fe93e0d4db2f42144f0a035ad7b5443bfdfca828012d5dbeed584a144	verified
matrixmultiply	3	able	2	0	0.731824	4841d03fe93e0d4db2f42144f0a035ad7b5443bfdfca828012d5dbeed584a144	verified
matrixmultiply	3	python	3	0	3.095760	4841d03fe93e0d4db2f42144f0a035ad7b5443bfdfca828012d5dbeed584a144	verified
matrixmultiply	4	able	1	0	0.728144	4841d03fe93e0d4db2f42144f0a035ad7b5443bfdfca828012d5dbeed584a144	verified
matrixmultiply	4	python	2	0	3.065606	4841d03fe93e0d4db2f42144f0a035ad7b5443bfdfca828012d5dbeed584a144	verified
matrixmultiply	4	ruby	3	0	3.089112	4841d03fe93e0d4db2f42144f0a035ad7b5443bfdfca828012d5dbeed584a144	verified
matrixmultiply	5	python	1	0	3.205894	4841d03fe93e0d4db2f42144f0a035ad7b5443bfdfca828012d5dbeed584a144	verified
matrixmultiply	5	ruby	2	0	3.014319	4841d03fe93e0d4db2f42144f0a035ad7b5443bfdfca828012d5dbeed584a144	verified
matrixmultiply	5	able	3	0	0.699565	4841d03fe93e0d4db2f42144f0a035ad7b5443bfdfca828012d5dbeed584a144	verified
