File: interpreter.test
Build ID: 156ee3dfb32993430e02b187ee870431430d9db7
Type: cpu
Time: 2026-07-23 00:02:25 CDT
Duration: 4.81s, Total samples = 4.84s (100.66%)
Showing nodes accounting for 3.42s, 70.66% of 4.84s total
Dropped 185 nodes (cum <= 0.02s)
Showing top 80 nodes out of 192
      flat  flat%   sum%        cum   cum%
     0.02s  0.41% 62.40%      0.09s  1.86%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).finishRunResumable
     0.02s  0.41% 62.81%      0.03s  0.62%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).lookupCachedCallName
     0.02s  0.41% 63.22%      0.03s  0.62%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).releaseActiveValueSlotI32Frame
     0.02s  0.41% 63.64%      0.05s  1.03%  able/interpreter-go/pkg/interpreter.bytecodeDirectFloatArithmeticRawValue
     0.02s  0.41% 64.05%      0.03s  0.62%  able/interpreter-go/pkg/interpreter.bytecodeNamedStructMemberPlanAt (inline)
     0.02s  0.41% 64.46%      0.05s  1.03%  able/interpreter-go/pkg/interpreter.typeExpressionUsesGenerics
     0.02s  0.41% 64.88%      0.04s  0.83%  able/interpreter-go/pkg/runtime.arrayHandleHasKindBackingLocked
     0.02s  0.41% 65.29%      0.04s  0.83%  runtime.bulkBarrierPreWrite
     0.02s  0.41% 65.70%      0.03s  0.62%  runtime.findObject
     0.02s  0.41% 66.12%      0.32s  6.61%  runtime.mallocgc
     0.02s  0.41% 66.53%      0.07s  1.45%  runtime.mapaccess2
     0.02s  0.41% 66.94%      0.07s  1.45%  runtime.mapaccess2_fast64
     0.02s  0.41% 67.36%      0.03s  0.62%  runtime.mapassign_faststr
     0.02s  0.41% 67.77%      0.07s  1.45%  runtime.wbBufFlush1
     0.01s  0.21% 67.98%      1.31s 27.07%  able/interpreter-go/pkg/interpreter.(*Interpreter).callResolvedFunctionValue
     0.01s  0.21% 68.18%      0.05s  1.03%  able/interpreter-go/pkg/interpreter.(*Interpreter).matchesRawIntegerType
     0.01s  0.21% 68.39%      0.13s  2.69%  able/interpreter-go/pkg/interpreter.(*Interpreter).matchesType
     0.01s  0.21% 68.60%      0.13s  2.69%  able/interpreter-go/pkg/interpreter.(*Interpreter).memberAccessOnValueWithOptions
     0.01s  0.21% 68.80%      1.61s 33.26%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).callCallableValueMutable
     0.01s  0.21% 69.01%      0.03s  0.62%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).canUseCanonicalArraySlotCallCacheForArray (inline)
     0.01s  0.21% 69.21%      0.03s  0.62%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).coerceProgramReturnValue
     0.01s  0.21% 69.42%      0.11s  2.27%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execBinaryIntSlotConstRawFast
     0.01s  0.21% 69.63%      0.18s  3.72%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execCachedCallName
     0.01s  0.21% 69.83%      0.19s  3.93%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execCallMemberFastPath
     0.01s  0.21% 70.04%      0.23s  4.75%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execCallName
     0.01s  0.21% 70.25%      0.62s 12.81%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execCallOpcode
     0.01s  0.21% 70.45%      0.07s  1.45%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execJumpIfIntCompareSlotConstFalse
     0.01s  0.21% 70.66%      0.06s  1.24%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execMemberAccess
