File: able-stateful-interpreter.test
Build ID: 6f45f521c0dd61d3c2b0907a5b8d7f47b60868ff
Type: cpu
Time: 2026-07-23 11:48:18 CDT
Duration: 5.46s, Total samples = 5.44s (99.71%)
Showing nodes accounting for 4.34s, 79.78% of 5.44s total
Dropped 170 nodes (cum <= 0.03s)
Showing top 120 nodes out of 201
      flat  flat%   sum%        cum   cum%
     0.02s  0.37% 65.26%      0.31s  5.70%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execExactNativeCall
     0.02s  0.37% 65.62%      0.30s  5.51%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execLoadSlotOpcode
     0.02s  0.37% 65.99%      0.28s  5.15%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).execStructLiteralNamedFast
     0.02s  0.37% 66.36%      0.13s  2.39%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).fillStructLiteralNamedFastValues
     0.02s  0.37% 66.73%      0.06s  1.10%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).lookupCachedCallName
     0.02s  0.37% 67.10%      0.06s  1.10%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).pushCallFrame
     0.02s  0.37% 67.46%      0.04s  0.74%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).releaseSlotFrame2
     0.02s  0.37% 67.83%      0.07s  1.29%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).releaseSlotFrameRawCells
     0.02s  0.37% 68.20%      0.08s  1.47%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).replaceTop2RawIntegerUnchecked
     0.02s  0.37% 68.57%      0.06s  1.10%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).scopeLookupEntryOuterEnvValid
     0.02s  0.37% 68.93%      0.03s  0.55%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).storeRawI64Slot
     0.02s  0.37% 69.30%      0.05s  0.92%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).switchRunProgram (inline)
     0.02s  0.37% 69.67%      0.03s  0.55%  able/interpreter-go/pkg/interpreter.(*bytecodeVM).validatedIntegerConstSlots
     0.02s  0.37% 70.04%      0.51s  9.38%  able/interpreter-go/pkg/interpreter.ApplyBinaryOperatorFast
     0.02s  0.37% 70.40%      0.03s  0.55%  able/interpreter-go/pkg/interpreter.bytecodeTryMaterializedProgramReturnNoCoercion
     0.02s  0.37% 70.77%      0.03s  0.55%  able/interpreter-go/pkg/interpreter.ratioPartsFromStruct
     0.02s  0.37% 71.14%      0.10s  1.84%  able/interpreter-go/pkg/runtime.(*Environment).mutex
     0.02s  0.37% 71.51%      0.03s  0.55%  internal/runtime/maps.(*Map).putSlotSmallFast64
     0.02s  0.37% 71.88%      0.08s  1.47%  runtime.bulkBarrierPreWrite
     0.02s  0.37% 72.24%      0.18s  3.31%  runtime.newobject
     0.01s  0.18% 72.43%      0.04s  0.74%  able/interpreter-go/pkg/interpreter.(*Interpreter).channelReceiveOp
     0.01s  0.18% 72.61%      0.07s  1.29%  able/interpreter-go/pkg/interpreter.(*Interpreter).channelSendOp
     0.01s  0.18% 72.79%      0.08s  1.47%  able/interpreter-go/pkg/interpreter.(*Interpreter).initChannelMutexBuiltins.func4
     0.01s  0.18% 72.98%      0.05s  0.92%  able/interpreter-go/pkg/interpreter.(*Interpreter).matchesTypeWithoutRuntimeValue
