benchmark	status	real_seconds	stdout_sha256	verified	profile_bytes
word_frequency	ok	1.596390144	7dc1dae393e2c070eb0b9c9e611e154b2e6cce1b4a4268aa1bc73f8ff0e2fd07	1	18916
mandelbrot	ok	6.270197760	d1560cadc49ab9dca30a4cfbe4123c1fcc0240ed80de27ad37d7fcc97159173e	1	20687
option_result_config	ok	0.876992512	28e46b27a6dceeaa15968e9db7a6728f4a2b35f87a89ff7bf561db18cad53112	1	13330
mutex_ledger	ok	0.346665728	58f2e2fda882a7c1e5032a2f34c4d9d05f40ced51199c0be0672ecc4d4cf14e4	1	7450
unicode_scalar_pipeline	ok	3.520353024	c9efadb7f22969600334daa4a4eed2edde38c8e86d2c81d354d6f3979c854eb9	1	19905
array_slice_window	ok	0.651482624	155f89122475c7b282637dbf2ecba6d19771d396e801b581cb1d1b0cef64103e	1	12170
