state	review_order	family	disposition	governing_record	lines	bytes	sha256	path
tracked-modified	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	7755	470986	f4fa5b26a9f6229d0cb61a27af0ff8b965ba424732f73998463fd8640e5d312b	v12/docs/perf-baselines/2026-07-20-cross-mode-performance-frontier.json
tracked-modified	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	361	83757	a7350731699428e4565dda9f97f59bbdcb5d1e8d6b9075c06f6c5b908c276063	v12/docs/perf-baselines/2026-07-20-cross-mode-performance-frontier.md
tracked-modified	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	1616	50254	dc1b9f6ba83d5e81f573ab2533ef8ad43861d5827ddf0e7a28be9a0f1dacd281	v12/docs/perf-baselines/2026-07-20-feature-interaction-coverage-matrix.json
tracked-modified	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	77	34468	d202e4d7812ca12cc8ebf03d3cf667a54cb728be6674ed14df8a64e0afbf944a	v12/docs/perf-baselines/2026-07-20-feature-interaction-coverage-matrix.md
tracked-modified	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	505	17292	9fe1ea9c05f7220fa0903c8e4c4971259d9ef61acd6ac8ffabbe64deaa8ffd21	v12/docs/perf-baselines/2026-07-21-cross-mode-residual-cost-model.json
tracked-modified	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	91	7085	2b5e47905d8996d229e6d61ec19ad7d67e0764c2a29a4b11119347d121b01139	v12/docs/perf-baselines/2026-07-21-cross-mode-residual-cost-model.md
tracked-modified	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	10262	324407	502023717d47e2788284ffc42949fa9eadd1ae87f237e7dbdd0e1fc61f20f6df	v12/docs/perf-baselines/2026-07-21-feature-interaction-triple-frontier.json
tracked-modified	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	182	96603	005061b352a6231aaaf5298d3888d804764541db0eb1f0751358cab24c031f09	v12/docs/perf-baselines/2026-07-21-feature-interaction-triple-frontier.md
tracked-modified	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	1623	71862	ad9f79174a20368ab55c1e80450960e28280111f8cbf1f58c9bbda0b1f0705bf	v12/docs/perf-baselines/2026-07-22-bytecode-native-hot-tier-design-budget.json
tracked-modified	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	172	11520	f704e200b2bf4cc00d17e256637809a09edd4521aa0dafbce6e050a7795bdfec	v12/docs/perf-baselines/2026-07-22-bytecode-native-hot-tier-design-budget.md
tracked-modified	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	178	7692	6d286bbb146aacbb2500a4e55b0717a7bcc55891deff24179efdae906744dd28	v12/docs/perf-baselines/2026-07-22-bytecode-semantic-region-tier-feasibility.json
tracked-modified	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	349	15263	0743885d19e097767998c89e9d86212dbdfe56be0c01846f0c28660146168e87	v12/docs/perf-baselines/2026-07-22-cross-engine-structural-strategy-reconciliation.json
tracked-modified	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	111	6736	5010cd4c4fc7191ef4574e3820ee81cea18a016dd76654d8c4a60b37e09967e8	v12/docs/perf-baselines/2026-07-22-cross-engine-structural-strategy-reconciliation.md
tracked-modified	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	449	16563	721653e8cd65d19b1326608dddfe012edeb5f7165006c19e74254ee391d1a6e5	v12/docs/perf-baselines/2026-07-22-current-compiled-architecture-target-budget.json
tracked-modified	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	246	8299	15cc3e3ba81bbfa8126c4962d2e9e655b63cb86c1f714151ac5866e25207376b	v12/docs/perf-baselines/2026-07-22-current-cross-engine-architecture-target-budget-reconciliation.json
tracked-modified	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	72	3813	04cb8e5dbe362c4329fc1ce2284ca64920288b0c07bc7ff67a7be6dbff1b5a77	v12/docs/perf-baselines/2026-07-22-current-cross-engine-architecture-target-budget-reconciliation.md
tracked-modified	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	290	14206	3e29e4e30c5a48975135f52d18a5b8558f04c952c327f2e7d54adecd93584d60	v12/docs/perf-baselines/2026-07-22-portable-vm-backend-abi-dependency-adr.json
tracked-modified	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	309	15036	87001b057058a3e859a141c0b8b5a163ffb44b1a123383b4f40951a40964bd56	v12/docs/perf-baselines/2026-07-22-shared-runtime-closed-region-cutover-decision.json
tracked-modified	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	309	15036	87001b057058a3e859a141c0b8b5a163ffb44b1a123383b4f40951a40964bd56	v12/docs/perf-baselines/2026-07-22-shared-runtime-closed-region-cutover.json
tracked-modified	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	281	14067	2c515e50868c2e3908140c61a3b61603430ce6185cb8d09d8250de1e1a83444b	v12/docs/perf-baselines/2026-07-22-shared-runtime-semantic-abi-feasibility.json
tracked-modified	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	1036	39281	14254c87578324abca01abe5c4cf534286457a8d23922ce682016a64bb027685	v12/docs/perf-baselines/2026-07-28-bytecode-current-profile-coverage.json
tracked-modified	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	85	9558	7fbea4076e5bc4841c2ab2f869de2c6ba4bc66438eee8506a7d6f175bbd7a87e	v12/docs/perf-baselines/2026-07-28-bytecode-current-profile-coverage.md
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	124	6007	4ca6e26e7831d077a74874165b802c284f4a0184ae4261f30f9ea70cb20cbf40	v12/docs/perf-baselines/2026-07-29-generic-slot-buffer-application-gate.json
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	145	6734	5021cb9ac6165f828bb397255078dcf88f1cc5219f2d3668c31911ef286a6ee5	v12/docs/perf-baselines/2026-07-29-generic-slot-buffer-application-gate.md
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	250	5548	2d0f331971c938a7c086d8be95aa255bc9c34dfb6d7943686ce7d7debdc423b2	v12/docs/perf-baselines/2026-07-29-generic-slot-buffer-closure-ledger.json
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	64	5155	dcf133cbdd3fe987b9c541deca3eb3a6a84375c418145c9ba9021542f332a8ea	v12/docs/perf-baselines/2026-07-29-generic-slot-buffer-closure-ledger.md
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	7583	445348	c352aa3c64105bf942ff90ab2cbb85274a8bcb0628667f16b4d0d78c0b29927c	v12/docs/perf-baselines/2026-07-29-generic-slot-buffer-frontier.json
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	368	75785	2964f77f409dcb212486d96bff49c80c5cc1ac1737df80e70092522ff9d8b055	v12/docs/perf-baselines/2026-07-29-generic-slot-buffer-frontier.md
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	69	2114	0fa993741aed18a200850238a086aa64f58b29ac964a7e15bb594125fc2137af	v12/docs/perf-baselines/2026-07-29-generic-slot-buffer-go-reference.json
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	13	570	53d59809dda0c8a262fbe522970aaebea5d8e62eb2c68980cb59bea8a46243ba	v12/docs/perf-baselines/2026-07-29-generic-slot-buffer-go-reference.md
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	133	4243	a3447ee4de7dee453e02e6549adc80b208c458adea491c630860750c28e56e54	v12/docs/perf-baselines/2026-07-29-generic-slot-buffer-interpreter-reference.json
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	14	926	f59fc2bbd45a0873964c5c7371bd257939f367cae9ee42c2d7b048e9abe1e92f	v12/docs/perf-baselines/2026-07-29-generic-slot-buffer-interpreter-reference.md
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	32	1482	dab592ba0324007feb6f1fd2682a8ddffa7ec55c1e62b6177bc9822697117efb	v12/docs/perf-baselines/2026-07-29-generic-slot-buffer-owner-profiles/bytecode-profile-summary.txt
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	41	1642	560b57467772785d907af3b982d8e68a0bf4c719dcc7cc964b474943576ef45e	v12/docs/perf-baselines/2026-07-29-generic-slot-buffer-owner-profiles/compiled-profile-summary.txt
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	35	974	61dde2425624d1337fc7e56400b29d5d74bae40ec5a70d21ad634b1f04e1f73c	v12/docs/perf-baselines/2026-07-29-generic-slot-buffer-owner-profiles/generated-native-shape.txt
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	144	222865	5f306e7dedc053067855eb9990e765af3328422b67f02030275308583dd70e35	v12/docs/perf-baselines/2026-07-29-generic-slot-buffer-scorecard-refresh.json
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	201	21798	424bf41d1e0372ae2336eed305f55ec0035c426b49801431958ab5bc8715ec9f	v12/docs/perf-baselines/2026-07-29-generic-slot-buffer-scorecard-refresh.md
untracked	1	nullable-scorecard-evidence	retain	2026-07-30-nullable-scalar-retained-frontier.md	414	14197	20afdd426c1b8a98e41b03c94abc59e8d9a4e115d9be732fdcc85c604eb893aa	v12/docs/perf-baselines/2026-07-29-generic-slot-buffer-scorecard-source.json
