File: compiled
Build ID: 486c97beb49084dd1a04192783747a196accdc33
Type: cpu
Time: 2026-07-28 09:43:04 CDT
Duration: 1.43s, Total samples = 1.58s (110.65%)
Showing nodes accounting for 1.39s, 87.97% of 1.58s total
Showing top 120 nodes out of 175
      flat  flat%   sum%        cum   cum%
         0     0% 66.46%      0.03s  1.90%  main.__able_hash_map_set_ctx (inline)
         0     0% 66.46%      0.03s  1.90%  main.__able_hash_map_set_impl
     0.01s  0.63% 67.09%      0.03s  1.90%  runtime.(*mcentral).cacheSpan
     0.03s  1.90% 68.99%      0.03s  1.90%  runtime.(*mspan).base (inline)
     0.03s  1.90% 70.89%      0.03s  1.90%  runtime.acquirem (inline)
         0     0% 70.89%      0.03s  1.90%  runtime.mallocgcSmallNoscan
     0.02s  1.27% 72.15%      0.03s  1.90%  runtime.mallocgcTiny
     0.01s  0.63% 72.78%      0.03s  1.90%  runtime.mapaccess2_faststr
     0.03s  1.90% 74.68%      0.03s  1.90%  runtime.memclrNoHeapPointers
         0     0% 74.68%      0.03s  1.90%  runtime.typedmemmove
         0     0% 74.68%      0.03s  1.90%  runtime.wbBufFlush
         0     0% 74.68%      0.03s  1.90%  runtime.wbBufFlush.func1
         0     0% 74.68%      0.03s  1.90%  runtime.wbBufFlush1
         0     0% 74.68%      0.02s  1.27%  able/interpreter-go/pkg/compiler/bridge.HashMapKeysEqual
     0.02s  1.27% 75.95%      0.02s  1.27%  able/interpreter-go/pkg/compiler/bridge.hashMapIntegerValue (inline)
     0.02s  1.27% 77.22%      0.02s  1.27%  able/interpreter-go/pkg/compiler/bridge.primitiveHashMapKeyEqual
         0     0% 77.22%      0.02s  1.27%  able/interpreter-go/pkg/runtime.(*HashMapValue).HashCandidates (inline)
         0     0% 77.22%      0.02s  1.27%  gcWriteBarrier
         0     0% 77.22%      0.02s  1.27%  internal/runtime/maps.(*Map).putSlotSmall
         0     0% 77.22%      0.02s  1.27%  internal/runtime/maps.NewEmptyMap (inline)
     0.02s  1.27% 78.48%      0.02s  1.27%  internal/runtime/syscall/linux.Syscall6
